panel,method,station,mae,mse
beijing/legacy_native_h96,gaussian_conditional_attention,Nongzhanguan,0.83777775140802058,1.4840327673613634
beijing/legacy_native_h96,gaussian_conditional_attention,Shunyi,0.89178854772111937,1.7538664636349701
beijing/legacy_native_h96,gaussian_conditional_attention,Tiantan,0.83027234547702422,1.8862944185234984
beijing/legacy_native_h96,gaussian_conditional_attention,Wanliu,0.96110410076799202,2.4310133967556937
beijing/legacy_native_h96,gaussian_conditional_attention,Wanshouxigong,0.79513021993183886,1.9146032754623628
beijing/legacy_native_h96,gaussian_group_attention,Aotizhongxin,1.0665980381932223,2.2794399833767236
beijing/legacy_native_h96,gaussian_group_attention,Changping,0.6899951532189188,1.150146712521974
beijing/legacy_native_h96,gaussian_group_attention,Dingling,0.9026639261221524,1.5985588533774198
beijing/legacy_native_h96,gaussian_group_attention,Dongsi,0.87813445394165857,1.5528077087160674
beijing/legacy_native_h96,gaussian_group_attention,Guanyuan,0.89645124680397681,1.8275304995058341
beijing/legacy_native_h96,gaussian_group_attention,Gucheng,0.91402436180571178,1.6773570810561971
beijing/legacy_native_h96,gaussian_group_attention,Huairou,0.80423876893044788,1.4462184909328248
beijing/legacy_native_h96,gaussian_group_attention,Nongzhanguan,0.83688111835539436,1.4794250585035276
beijing/legacy_native_h96,gaussian_group_attention,Shunyi,0.89185089405680285,1.7542087880943351
beijing/legacy_native_h96,gaussian_group_attention,Tiantan,0.83043499750511895,1.8866737000684388
beijing/legacy_native_h96,gaussian_group_attention,Wanliu,0.96118540033312716,2.4313829782836271
beijing/legacy_native_h96,gaussian_group_attention,Wanshouxigong,0.79515582713667543,1.9141461159458539
beijing/legacy_native_h96,gaussian_observation_attention,Aotizhongxin,1.068904600765348,2.2889978548644421
beijing/legacy_native_h96,gaussian_observation_attention,Changping,0.69157729326177675,1.1487649787415406
beijing/legacy_native_h96,gaussian_observation_attention,Dingling,0.89591008095417757,1.5841123247957367
